trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.5477292602242684}",20,0,-1.5885841321679504,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.8817917275413242}",25,0,-67.33249246392657,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.9999608263946371}",20,0,-112.74642653226762,"{0: 8, 1: 6, 2: 5, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.8733046400935156}",30,0,-20.910438533401557,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.5328330203333975}",20,12,12.784908342053148,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.061905293994420546}",20,14,8.661140153319948,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.424179007336997}",20,0,-71.35940790352083,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.8064094939122546}",25,10,8.271033801320646,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.9912028118634736}",20,10,-10.501119938020242,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.933315112063922}",20,0,-139.69622167989522,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.6469193223286404}",20,0,5.417092800150492,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.20213512038718198}",25,2,15.708752587215635,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.2921388087338362}",30,0,9.77999805443354,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.7148869687796651}",30,0,-19.045183560438183,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
